Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
4.624566,3.426053,0.928668,0.074455
5.251568,3.682928,1.816722,0.498076
3.807359,2.137752,0.958295,-0.147483
4.659515,2.623386,1.995288,0.380984
5.068801,3.191219,2.076802,0.518939
5.479602,3.842655,2.057151,0.629181
4.525756,2.988127,1.283523,0.145328
4.973215,3.320266,1.732005,0.396109
4.182363,3.198072,0.360641,-0.208097
4.276826,2.475013,1.442797,0.119516
5.535083,4.626985,1.187565,0.402930
4.875523,3.234003,1.651205,0.346118
5.210000,3.773683,1.623658,0.432666
4.551533,2.999005,1.319639,0.162634
4.779312,3.789534,0.774249,0.075090
5.488881,4.266543,1.547299,0.489977
5.297321,3.972252,1.544661,0.435288
5.118584,3.654543,1.595880,0.399191
5.542220,4.123931,1.827599,0.582968
5.869574,4.636770,1.819745,0.672987
4.986878,3.126810,1.999173,0.474271
5.209435,3.666965,1.755430,0.469160
4.567494,2.857931,1.526018,0.224535
4.952647,3.240299,1.791938,0.406986
4.051609,2.550266,0.915252,-0.090659
5.104735,3.678318,1.539603,0.379636
4.730443,2.807788,1.902349,0.375110
4.997160,3.712606,1.289683,0.279820
5.860835,4.505765,1.966007,0.711209
4.875946,2.200761,2.938372,0.704268
4.595129,3.513294,0.763349,0.020180
4.817879,3.637669,1.037610,0.159207
5.526470,4.445539,1.396866,0.458721
5.375395,4.043665,1.606155,0.474383
3.917617,2.331608,0.929353,-0.124477
4.927314,3.493346,1.428104,0.298649
5.039419,3.341657,1.832909,0.442823
5.509703,4.182324,1.692261,0.536164
4.595795,3.240023,1.104845,0.115356
5.286832,4.443484,0.937787,0.263529
5.136028,3.436055,1.901495,0.489112
4.554069,3.205578,1.067346,0.093172
4.153179,2.578625,1.075608,-0.017446
5.562984,4.190509,1.784712,0.576887
5.552293,4.159288,1.802984,0.578958
4.740906,3.091404,1.569412,0.285449
5.192994,4.053718,1.242265,0.321790
5.438326,3.937712,1.859295,0.562521
5.624832,4.725804,1.237430,0.442079
5.199951,3.973520,1.355510,0.355249
6.142243,2.885808,4.524901,1.502239
6.176984,2.938311,4.526461,1.512458
6.092639,3.180270,4.062749,1.359717
5.495770,2.245486,4.076718,1.195486
6.063742,2.975996,4.261397,1.406833
6.020028,2.968096,4.187021,1.373833
6.540835,3.390740,4.664125,1.653234
4.929268,2.538757,2.620298,0.630813
6.205631,3.465725,3.925034,1.353238
5.733059,2.638054,4.045097,1.253527
4.543337,1.147752,3.608596,0.797009
6.001256,2.635970,4.564345,1.473499
5.589470,2.854021,3.499614,1.061354
5.593854,2.299835,4.198003,1.256849
5.753342,3.217722,3.362502,1.069373
6.395212,3.655413,4.054088,1.442533
5.750998,2.264124,4.545184,1.397680
5.239658,1.994909,3.895305,1.072887
6.244517,3.065675,4.497994,1.523562
5.531209,2.328874,4.041171,1.195580
6.496637,3.661487,4.241910,1.523344
5.566794,2.392036,4.031088,1.202799
6.957617,3.518465,5.307998,1.949723
6.844533,4.031594,4.451325,1.679584
6.388569,2.856700,5.035661,1.713690
5.854779,3.407393,3.321777,1.086617
6.707421,3.277656,5.125821,1.828578
5.782910,1.900283,5.059628,1.549764
5.785772,2.647045,4.135450,1.293506
5.349033,2.754617,3.160194,0.899220
5.170807,2.425133,3.227056,0.867618
5.532119,2.198714,4.204969,1.241398
5.919927,2.992976,3.963213,1.283384
6.777385,2.809234,5.843768,2.047984
5.863957,2.891595,3.981608,1.272736
6.203712,3.287466,4.143264,1.413399
6.166062,2.898263,4.555281,1.517398
5.848736,3.173557,3.601252,1.162651
6.171353,3.236007,4.144992,1.404765
5.667377,2.638682,3.917785,1.199614
6.520773,3.427648,4.579527,1.624052
6.496805,3.228412,4.781397,1.673452
6.047972,2.727711,4.540124,1.479920
5.362002,2.202180,3.872943,1.101127
5.558871,2.767504,3.548382,1.066301
5.738328,2.750347,3.915445,1.218947
5.660078,2.537993,4.029079,1.228515
6.710369,3.681953,4.628164,1.690983
4.663906,2.109642,2.643340,0.562479
5.911289,2.885221,4.080725,1.313638
6.835163,2.971401,5.753180,2.039061
6.744266,2.863750,5.712097,2.002031
7.092638,3.233777,5.922529,2.158688
6.348863,2.238939,5.728263,1.895157
7.001931,3.074378,5.946237,2.139734
7.477169,3.521698,6.304836,2.373337
4.903243,1.127595,4.327013,1.098212
6.529777,2.980382,5.153704,1.786298
6.770311,2.391558,6.350134,2.186840
7.466837,3.500649,6.311137,2.372180
7.020833,3.241825,5.774184,2.097200
6.299777,2.609491,5.172381,1.726710
6.476474,2.730569,5.362030,1.829231
5.678446,2.199208,4.486239,1.360849
6.153500,2.127277,5.490931,1.774115
6.555837,2.940405,5.253676,1.821446
6.270503,2.243247,5.571948,1.829606
