review_id,user_id,business_id,stars,date,text,useful,funny,cool
vVXQrmj6CArpQJkJQ_4fMQ,DgvO50NfNIEZeinKkCgORA,-XrG8PgkJ4XehqWOnV1-TA,1,2017-08-20,"This car wash sucks.  Paid $40 for the Ultimate VIP.  still had dirt all over the bumpers.  No vacuuming in the hatch. Sales people are very pushy.  Guy kept trying to sell me an oil change & next guy was so pushy about getting a full detail for $155. 

My car is brand new.  RIDICULOUS... worst service ever.",0,0,0
pkcT55BnL6JsZlz4H0CpBw,E7xztB1S0evVyjG38WSfow,tktorxzEnFYEXE5CkQTP4A,5,2015-04-19,I was referred to Earnie by friends and since then I've referred him many times. My beautiful tattoos speak for themselves. I get complimented on them all the time & asked where I got them. I always say go to Top Rocker Tattoo you won't be disappointed! Earnie is a legit artist which you can tell by his amazing paintings at the shop. I also got my nose pierced there. Mr. Grooves & the whole staff are super cool. If you're thinking about getting a tattoo or piercing you seriously won't find a better place,0,0,0
z-GV4ZfqLGTjbVr2QfPj8A,G73QCz-7EOEKAyJ6cGnjkg,RSSZt1bcFHbvYYTI2he6lg,1,2017-08-14,"The food is okay, but they have the worst service I've ever seen. If you can, go to seoul chako instead.",0,0,0
BXrlwetTFhEMm3uq_cddsQ,gAcz_T0JKVmXDWkFehJigQ,VzSUgIOcyO7JmTwYDnyivQ,1,2012-02-06,"Opting out from the noise and hustle of Flo's we called in a take-out order recently.  Arrived for pick-up as instructed in about 35 minutes.  

As usual, the place was hopping when I arrived.  Transaction was completed quickly and I was out the door with my order.  All happy - until I got home and realized that my order was incomplete.  Rec'd only the appetizer & rice, but neither of the 2 main dishes I'd ordered.  Now I'm NOT happy. 

Called to inform Flo's of the problem, talked to a ""manager"".  She was snippy and basically told me it was my fault for walking out with only 1 bag when they had 2 for the order.  Yes, and how was I supposed to know that??  I requested credit back to my credit card, more discussion, finally she says ""I'm not going to argue with you"" and hung up.  Huh, what has this conversation been then?  Several days later I found my credit card had been credited back.  Hurray, I won't have to dispute the charge with my credit card company.

Flo's - you screwed up and blamed it on me.  Your food isn't that great anyway and your attitude is worse.  Think about adding some customer service to your menu.  In the meantime I'll find another restaurant that actually wants my business.",7,8,1
Jh59oT1TdLzO_XPcfHzeRQ,emeP3q1wBsmZDa3ZkRC8ug,fKlr9qNoV37WQJwQ826POg,5,2015-07-19,"Basically, unlimited steak. If you like steak, you will like this place.

One of the guys also took the time to show us around the wine room. It was pretty cool.",3,0,0
r-jC5cDoXsmb4BiyW8LITg,no9P_zvRMtrRY14yDRFvmA,zJwm3DThV4WUIkyNv68Ahw,1,2016-01-31,"I visited Double Wide for the first time today. My first impression was pretty good. The parking lot was packed but our party was seated very quickly and our drinks were brought to us in a timely manner. I decided on the French toast, which was described as two thick cut pieces of bread with a heavy egg batter. I also opted to add bananas and their homemade whip cream. I was really looking forward to my meal, especially after seeing it get served to the table next to us. It looked delicious! 

What I was served was 3 limp pieces of bread with barely any egg batter and 5 brown banana slices. Yes, I counted them. I asked the server about it and pointed out what should have been the proper dish at the table next to us and she told me that ""they ran out of the right bread after I put the order in"". Okay, that's fine, but it's not my fault. She didn't even offer an apology which is what frustrated me. She should have came out WHEN she found out and asked if I wanted to change my order, because I totally would have. It also wasn't even discounted or anything on our bill (in my opinion it should have been because I got crap compared to what the dish actually looked like).

Overall my first visit was very disappointing.",9,1,0
0ApJ-VjURKwJ3Gji9MiAaw,_katz8W54kTuTtLgIRAEKg,YJ8ljUhLsz6CtT_2ORNFmg,1,2016-06-06,"Last week me and my wife had dinner.  Sat for 10 minutes to get a server.  We ordered the filet each, mashed potato, asparagus and salad to share.  The filet was terrible, poor grade, at the price should cut with a butter knife.  Asparagus was woody, mashed was good as well as the salad.  No rolls, they serve no rolls.  The toffee dessert was excellent, should have just had that.  Mostly upset with the filet, fine quality you should be able to cut with a butter knife and not chewy.  Wonder if the steakhouse has the same quality.",0,0,0
4Bzt5ogKiM9z_vnP_BFEVA,zTWkc18iRu1TG9dap8q2CQ,JuNt6TkuBrMqsljkenCOdw,5,2015-10-31,This place is the best!!! I was recommended by my co worker to get a Brazilian wax I have been waxing for 8 years and been to a lot of people. First of all I have to say the prices are super cheap. First time clients pay only $20 then $35 after which is still way cheaper than all the places I have been to. I have paid up to $65 and that is a lot. Jennifer was the one to do my Brazilian and she was awesome very fast and it was not painful like other places I have been to she has a soft touch. She was amazing I loved it and she did an amazing job. I will definitely be back to the birthday suit. The place is very very clean and they are all very professional. I will do the 30 min drive just to have a good experience here and feel comfortable. I will recommend every one I know here.,1,0,0
WhaaEYD-TDr8CB5dbYm6Fg,6bAkbpGGWQRADy8gIDwJwA,s_466owgNXqmQRuSluHHEQ,1,2016-07-23,"I could not wait to check OUT! At arrival, the valet did not offer any assistance for the luggage of myself my colleague I was traveling with. At check in, they tried to convince me to have a ""green stay"" meaning I would receive no maid service for my stay. I am offended by the idea of paying for a 4-star hotel and them offering not to make my bed or tidy up as that is part of basic service hotels should provide. There was no space between the desk and the closet to place my luggage. No hooks in the bathroom to hang a suit or towel. My room was next to a nightclub and did not have noise canceling glass which kept me up till at least 2 each morning on a business trip followed by loud intoxicated guests yelling down the halls after that. At check out, they could not add my mini bar charges, causing more inconvenience and no assurance was offered with my luggage. Oh, and don't ask for a restaurant recommendation! I did and the front desk staff just started naming place after place after place with no context just confusing my associate and I.",1,1,0
0qfOSsXVf8vjVhdc7a0-Ng,MjYX92-lgzd0UnFH0xzLxg,soe63_s_1FqZMVmDm2X5uA,1,2015-08-27,"Horrible customer service!  Been with them over 2 years, and after staying with them during my last move they raised my bill almost double for the same services!  Sent two emails since I don't have time to call, not a single response. Will finally waste an entire night to call to cancel my service.",1,0,0
